result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,away-wins,away-draws,away-losses,away-goals,away-opposition-goals
H,0.0,0.0,0.0,5,2,3,13,7,5,1,4,8,9
H,0.0,0.0,0.0,5,3,2,14,7,8,1,1,14,7
H,0.0,0.0,0.0,4,1,5,9,13,7,2,1,16,9
D,0.0,0.0,0.0,7,1,2,14,9,5,3,2,14,9
H,0.0,0.0,0.0,2,3,5,7,12,5,1,4,8,9
D,0.0,0.0,0.0,3,1,6,12,11,3,4,3,14,11
H,0.0,0.0,0.0,2,5,3,8,8,5,3,2,14,8
H,0.0,0.0,0.0,3,3,4,13,10,5,2,3,13,7
H,0.0,0.0,0.0,2,4,4,7,9,0,4,6,8,19
H,0.0,0.0,0.0,5,3,2,15,10,1,4,5,8,16
D,0.0,0.0,0.0,7,1,2,14,8,6,2,2,14,10
H,0.0,0.0,0.0,4,1,5,8,11,4,4,2,15,11
H,0.0,0.0,0.0,3,3,4,7,8,4,1,5,9,13
D,0.0,0.0,0.0,3,2,5,9,11,4,3,3,14,9
H,0.0,0.0,0.0,0,3,7,7,19,2,5,3,7,8
H,0.0,0.0,0.0,5,3,2,13,7,3,3,4,9,11
A,0.0,0.0,0.0,5,0,5,10,12,4,3,3,12,8
H,0.0,0.0,0.0,6,2,2,13,8,4,3,3,14,11
D,0.0,0.0,0.0,5,3,2,14,11,1,3,6,9,18
A,0.0,0.0,0.0,4,1,5,9,16,6,3,1,13,4
A,0.0,0.0,0.0,4,3,3,11,7,5,3,2,15,11
D,0.0,0.0,0.0,2,3,5,8,13,1,2,7,8,18
D,0.0,0.0,0.0,2,4,4,6,9,3,3,4,11,11
D,0.0,0.0,0.0,1,3,6,8,17,3,4,3,11,10
H,0.0,0.0,0.0,6,2,2,15,10,7,1,2,13,7
H,0.0,0.0,0.0,5,3,2,15,6,2,4,4,6,9
A,0.0,0.0,0.0,3,3,4,11,10,2,3,5,7,12
H,0.0,0.0,0.0,4,1,5,9,15,5,3,2,13,10
A,0.0,0.0,0.0,1,3,6,8,16,3,3,4,9,8
H,0.0,0.0,0.0,7,2,1,14,4,3,4,3,13,12
A,0.0,0.0,0.0,2,1,7,10,16,7,1,2,14,13
H,0.0,0.0,0.0,3,6,1,14,10,6,0,4,16,8
H,0.0,0.0,0.0,6,1,3,19,9,2,4,4,8,14
A,0.0,0.0,0.0,3,1,6,7,17,4,1,5,17,12
H,0.0,0.0,0.0,2,1,7,9,16,5,2,3,10,9
D,0.0,0.0,0.0,2,2,6,14,18,6,0,4,14,12
D,0.0,0.0,0.0,3,4,3,12,13,3,3,4,10,11
H,0.0,0.0,0.0,1,2,7,9,15,6,2,2,20,9
H,0.0,0.0,0.0,5,1,4,21,9,6,4,0,16,8
D,0.0,0.0,0.0,4,3,3,12,13,3,3,4,9,12
A,0.0,0.0,0.0,6,1,3,16,14,6,0,4,17,12
A,0.0,0.0,0.0,3,5,2,10,9,2,3,5,6,18
H,0.0,0.0,0.0,4,3,3,9,8,5,2,3,19,17
A,0.0,0.0,0.0,2,5,3,7,9,3,3,4,6,7
D,0.0,0.0,0.0,1,2,7,6,15,4,3,3,11,12
A,0.0,0.0,0.0,2,4,4,9,13,5,1,4,13,13
H,0.0,0.0,0.0,4,2,4,17,20,2,2,6,11,12
D,0.0,0.0,0.0,3,3,4,6,7,6,1,3,22,8
H,0.0,0.0,0.0,7,0,3,18,9,3,5,2,10,9
A,0.0,0.0,0.0,3,2,5,7,18,5,3,2,12,8
H,0.0,0.0,0.0,6,1,3,18,10,3,3,4,9,15
H,0.0,0.0,0.0,2,4,4,7,10,5,4,1,13,8
H,0.0,0.0,0.0,2,2,6,10,11,2,4,4,9,11
H,0.0,0.0,0.0,2,3,5,9,14,5,1,4,16,18
A,0.0,0.0,0.0,4,4,2,12,10,3,2,5,8,15
D,0.0,0.0,0.0,5,2,3,17,8,7,0,3,19,9
A,0.0,0.0,0.0,5,1,4,13,13,3,4,3,10,12
H,0.0,0.0,0.0,7,0,3,18,9,3,4,3,6,6
H,0.0,0.0,0.0,3,4,3,9,10,1,3,6,5,13
A,0.0,0.0,0.0,6,2,2,13,8,3,2,5,7,14
H,0.0,0.0,0.0,1,3,6,5,13,5,2,3,10,8
D,0.0,0.0,0.0,5,1,4,15,17,6,1,3,18,9
D,0.0,0.0,0.0,4,4,2,12,11,2,2,6,9,12
D,0.0,0.0,0.0,2,4,4,5,7,4,4,2,10,9
A,0.0,0.0,0.0,3,2,5,9,15,5,1,4,13,13
D,0.0,0.0,0.0,3,2,5,7,14,3,2,5,10,13
H,0.0,0.0,0.0,4,3,3,10,11,4,3,3,16,8
A,0.0,0.0,0.0,2,4,4,10,12,8,0,2,19,6
H,0.0,0.0,0.0,2,3,5,11,13,3,2,5,8,17
A,0.0,0.0,0.0,4,2,4,14,17,8,0,2,23,7
H,0.0,0.0,0.0,5,2,3,16,9,2,4,4,5,7
D,0.0,0.0,0.0,3,3,4,8,14,4,2,4,16,9
H,0.0,0.0,0.0,5,1,4,15,12,2,2,6,6,13
D,0.0,0.0,0.0,4,5,1,10,7,4,5,1,13,10
A,0.0,0.0,0.0,4,2,4,8,8,3,3,4,10,12
H,0.0,0.0,0.0,1,4,5,8,16,5,2,3,11,11
H,0.0,0.0,0.0,2,2,6,6,14,2,3,5,12,12
H,0.0,0.0,0.0,3,3,4,9,12,2,4,4,8,14
H,0.0,0.0,0.0,4,6,0,13,8,6,1,3,19,9
A,0.0,0.0,0.0,4,2,4,16,9,3,6,1,9,7
H,0.0,0.0,0.0,2,4,4,5,9,6,1,3,17,11
D,0.0,0.0,0.0,2,2,6,6,20,4,2,4,14,17
A,0.0,0.0,0.0,8,0,2,24,7,4,2,4,8,8
H,0.0,0.0,0.0,4,2,4,10,12,2,4,4,7,14
D,0.0,0.0,0.0,2,2,6,11,12,5,1,4,13,12
A,0.0,0.0,0.0,4,2,4,12,12,7,0,3,19,7
A,0.0,0.0,0.0,4,2,4,15,18,2,3,5,7,15
D,0.0,0.0,0.0,5,5,0,12,6,2,2,6,7,15
H,0.0,0.0,0.0,4,2,4,16,9,2,3,5,7,17
A,0.0,0.0,0.0,3,3,4,6,9,4,2,4,11,13
H,0.0,0.0,0.0,5,2,3,9,7,4,5,1,10,7
A,0.0,0.0,0.0,2,4,4,8,13,6,0,4,19,10
H,0.0,0.0,0.0,5,1,4,20,9,1,4,5,7,17
A,0.0,0.0,0.0,3,3,4,7,9,4,2,4,15,18
D,0.0,0.0,0.0,6,0,4,20,10,2,3,5,7,13
A,0.0,0.0,0.0,2,3,5,7,18,7,0,3,19,7
H,0.0,0.0,0.0,3,2,5,9,15,1,3,6,9,13
H,0.0,0.0,0.0,4,2,4,12,13,5,5,0,12,6
H,0.0,0.0,0.0,4,4,2,10,8,3,2,5,11,14
A,0.0,0.0,0.0,6,2,2,10,6,5,2,3,14,13
D,0.0,0.0,0.0,1,4,5,5,12,2,3,5,6,10
H,0.0,0.0,0.0,2,2,6,7,15,6,1,3,20,9
H,0.0,0.0,0.0,4,5,1,12,10,5,1,4,15,17
A,0.0,0.0,0.0,6,1,3,23,10,1,3,6,8,12
A,0.0,0.0,0.0,2,2,6,7,19,5,2,3,13,12
D,0.0,0.0,0.0,8,0,2,21,7,5,2,3,16,13
A,0.0,0.0,0.0,4,4,2,11,8,4,2,4,9,13
D,0.0,0.0,0.0,1,4,5,8,16,5,2,3,9,7
D,0.0,0.0,0.0,1,4,5,6,13,5,1,4,15,17
D,0.0,0.0,0.0,2,2,6,8,11,3,2,5,9,13
D,0.0,0.0,0.0,2,2,6,7,17,2,4,4,6,8
H,0.0,0.0,0.0,4,2,4,8,13,1,5,4,10,14
A,0.0,0.0,0.0,5,2,3,12,11,4,4,2,11,8
H,0.0,0.0,0.0,5,2,3,16,13,5,1,4,19,11
A,0.0,0.0,0.0,7,1,2,20,8,5,1,4,16,11
A,0.0,0.0,0.0,4,3,3,10,9,5,4,1,14,10
A,0.0,0.0,0.0,2,1,7,10,16,6,0,4,16,11
D,0.0,0.0,0.0,5,1,4,12,12,2,5,3,11,13
H,0.0,0.0,0.0,7,1,2,16,9,5,0,5,14,8
D,0.0,0.0,0.0,8,1,1,16,10,3,1,6,11,14
D,0.0,0.0,0.0,3,6,1,12,10,3,4,3,11,10
H,0.0,0.0,0.0,2,3,5,14,16,3,1,6,7,18
D,0.0,0.0,0.0,5,1,4,9,11,5,1,4,21,10
A,0.0,0.0,0.0,1,4,5,6,13,1,5,4,8,12
H,0.0,0.0,0.0,2,3,5,9,11,4,2,4,12,13
A,0.0,0.0,0.0,4,2,4,14,17,5,2,3,15,12
H,0.0,0.0,0.0,6,4,0,14,6,4,2,4,8,13
H,0.0,0.0,0.0,5,1,4,17,9,3,3,4,11,13
A,0.0,0.0,0.0,2,5,3,6,7,4,3,3,10,9
H,0.0,0.0,0.0,6,0,4,20,11,2,3,5,6,15
D,0.0,0.0,0.0,4,4,2,11,9,6,1,3,18,11
D,0.0,0.0,0.0,3,3,4,10,12,2,4,4,5,8
D,0.0,0.0,0.0,2,3,5,6,15,1,3,6,5,14
A,0.0,0.0,0.0,3,2,5,7,15,7,0,3,22,9
H,0.0,0.0,0.0,3,2,5,11,15,4,2,4,14,16
A,0.0,0.0,0.0,6,1,3,19,12,6,4,0,14,6
H,0.0,0.0,0.0,4,5,1,13,10,2,3,5,10,12
D,0.0,0.0,0.0,5,2,3,10,7,4,1,5,16,12
D,0.0,0.0,0.0,2,4,4,8,10,6,1,3,15,11
D,0.0,0.0,0.0,2,2,6,9,12,5,3,2,10,6
D,0.0,0.0,0.0,2,4,4,10,14,2,3,5,8,17
H,0.0,0.0,0.0,4,1,5,15,20,4,2,4,16,11
D,0.0,0.0,0.0,2,4,4,7,10,6,4,0,15,7
D,0.0,0.0,0.0,7,0,3,19,9,4,2,4,14,14
D,0.0,0.0,0.0,5,2,3,13,12,2,2,6,6,16
H,0.0,0.0,0.0,6,1,3,20,10,1,3,6,7,16
H,0.0,0.0,0.0,2,5,3,9,10,4,5,1,12,9
A,0.0,0.0,0.0,1,3,6,6,16,2,4,4,9,13
H,0.0,0.0,0.0,4,1,5,15,19,4,4,2,11,9
H,0.0,0.0,0.0,6,4,0,13,5,4,2,4,13,13
H,0.0,0.0,0.0,4,2,4,16,10,6,1,3,19,10
A,0.0,0.0,0.0,2,5,3,6,8,2,3,5,8,12
D,0.0,0.0,0.0,6,1,3,16,8,1,3,6,5,14
A,0.0,0.0,0.0,2,4,4,8,13,3,4,3,9,9
H,0.0,0.0,0.0,5,2,3,13,12,5,3,2,11,7
A,0.0,0.0,0.0,0,4,6,4,14,2,5,3,8,9
H,0.0,0.0,0.0,3,3,4,11,13,6,4,0,14,5
H,0.0,0.0,0.0,5,1,4,17,9,1,3,6,7,17
A,0.0,0.0,0.0,3,3,4,11,12,2,4,4,9,13
H,0.0,0.0,0.0,4,2,4,12,14,6,0,4,17,10
A,0.0,0.0,0.0,4,3,3,10,11,5,2,3,13,12
D,0.0,0.0,0.0,4,3,3,9,8,5,2,3,15,9
H,0.0,0.0,0.0,3,4,3,9,10,5,1,4,19,19
H,0.0,0.0,0.0,1,2,7,6,18,3,3,4,11,12
H,0.0,0.0,0.0,4,2,4,11,11,4,2,4,11,13
H,0.0,0.0,0.0,5,1,4,19,17,4,3,3,9,8
D,0.0,0.0,0.0,5,4,1,12,6,6,0,4,20,10
A,0.0,0.0,0.0,3,4,3,9,8,4,3,3,10,10
H,0.0,0.0,0.0,4,3,3,14,9,6,1,3,14,12
D,0.0,0.0,0.0,3,3,4,8,11,3,3,4,10,13
H,0.0,0.0,0.0,6,0,4,16,11,0,4,6,5,16
H,0.0,0.0,0.0,0,3,7,3,15,5,1,4,18,17
A,0.0,0.0,0.0,5,4,1,14,8,4,3,3,10,10
H,0.0,0.0,0.0,6,1,3,22,10,3,3,4,9,9
D,0.0,0.0,0.0,3,2,5,10,13,6,0,4,14,11
H,0.0,0.0,0.0,4,1,5,11,14,2,2,6,9,16
D,0.0,0.0,0.0,6,0,4,12,12,5,1,4,12,11
D,0.0,0.0,0.0,3,4,3,11,13,5,2,3,16,9
H,0.0,0.0,0.0,4,2,4,7,7,3,3,4,9,12
D,0.0,0.0,0.0,2,2,6,9,15,3,5,2,11,10
H,0.0,0.0,0.0,4,1,5,14,18,4,2,4,9,10
D,0.0,0.0,0.0,3,3,4,8,8,6,1,3,15,10
A,0.0,0.0,0.0,5,2,3,16,9,6,1,3,22,11
A,0.0,0.0,0.0,3,3,4,10,13,4,4,2,11,10
A,0.0,0.0,0.0,2,3,5,8,12,5,2,3,10,8
A,0.0,0.0,0.0,5,1,4,13,12,5,1,4,11,12
D,0.0,0.0,0.0,4,3,3,10,9,1,2,7,4,14
A,0.0,0.0,0.0,1,3,6,4,12,5,4,1,13,8
H,0.0,0.0,0.0,3,2,5,8,12,2,3,5,9,14
H,0.0,0.0,0.0,6,1,3,20,10,4,1,5,10,13
D,0.0,0.0,0.0,5,1,4,16,10,5,1,4,15,17
D,0.0,0.0,0.0,5,1,4,10,11,2,3,5,9,15
H,0.0,0.0,0.0,6,2,2,16,8,3,4,3,9,9
A,0.0,0.0,0.0,3,6,1,10,8,2,4,4,6,8
H,0.0,0.0,0.0,6,1,3,13,9,2,3,5,8,12
A,0.0,0.0,0.0,1,3,6,5,12,5,2,3,12,11
H,0.0,0.0,0.0,3,2,5,10,12,7,1,2,14,8
A,0.0,0.0,0.0,6,3,1,13,6,3,5,2,9,8
H,0.0,0.0,0.0,7,0,3,19,8,2,3,5,8,14
H,0.0,0.0,0.0,3,4,3,7,7,4,2,4,15,11
D,0.0,0.0,0.0,2,3,5,10,16,1,3,6,4,13
A,0.0,0.0,0.0,4,1,5,10,13,2,4,4,9,11
H,0.0,0.0,0.0,6,2,2,17,9,4,2,4,15,18
A,0.0,0.0,0.0,6,1,3,17,9,4,2,4,20,10
D,0.0,0.0,0.0,8,1,1,18,7,7,2,1,17,12
D,0.0,0.0,0.0,5,0,5,15,9,1,1,8,8,19
H,0.0,0.0,0.0,6,0,4,17,12,5,2,3,13,12
H,0.0,0.0,0.0,3,6,1,13,11,3,1,6,7,20
A,0.0,0.0,0.0,3,2,5,12,14,2,3,5,16,15
H,0.0,0.0,0.0,2,5,3,9,11,4,2,4,8,12
D,0.0,0.0,0.0,0,4,6,3,14,1,3,6,4,12
H,0.0,0.0,0.0,4,2,4,16,19,2,4,4,9,14
H,0.0,0.0,0.0,4,1,5,14,11,6,3,1,13,6
D,0.0,0.0,0.0,2,2,6,7,14,3,1,6,8,16
H,0.0,0.0,0.0,6,1,3,14,11,4,4,2,7,5
D,0.0,0.0,0.0,4,4,2,10,7,7,0,3,18,7
A,0.0,0.0,0.0,6,1,3,11,8,7,1,2,19,9
H,0.0,0.0,0.0,2,4,4,11,11,4,1,5,12,12
H,0.0,0.0,0.0,5,2,3,14,13,5,1,4,14,10
H,0.0,0.0,0.0,7,2,1,17,7,1,2,7,9,15
D,0.0,0.0,0.0,6,3,1,17,13,2,5,3,9,11
H,0.0,0.0,0.0,4,2,4,18,10,3,2,5,10,12
D,0.0,0.0,0.0,5,1,4,15,8,3,1,6,6,20
A,0.0,0.0,0.0,6,0,4,15,11,3,3,4,17,14
H,0.0,0.0,0.0,1,7,2,11,13,3,6,1,13,10
H,0.0,0.0,0.0,5,2,3,11,13,4,2,4,17,10
A,0.0,0.0,0.0,2,2,6,4,20,5,0,5,15,13
H,0.0,0.0,0.0,2,6,2,11,11,4,1,5,13,11
H,0.0,0.0,0.0,3,2,5,9,13,7,2,1,17,7
A,0.0,0.0,0.0,3,3,4,14,15,2,7,1,12,9
A,0.0,0.0,0.0,2,6,2,9,9,5,2,3,14,6
D,0.0,0.0,0.0,4,3,3,7,8,1,2,7,10,16
A,0.0,0.0,0.0,1,3,6,11,16,1,2,7,3,23
D,0.0,0.0,0.0,3,1,6,12,13,3,6,1,14,10
H,0.0,0.0,0.0,6,2,2,15,8,3,5,2,13,12
H,0.0,0.0,0.0,6,4,0,19,11,3,3,4,15,15
A,0.0,0.0,0.0,4,2,4,18,10,1,6,3,7,9
H,0.0,0.0,0.0,5,2,3,13,6,5,2,3,12,14
H,0.0,0.0,0.0,4,2,4,10,12,3,4,3,6,8
A,0.0,0.0,0.0,1,3,6,9,14,3,3,4,15,15
H,0.0,0.0,0.0,6,4,0,18,11,6,2,2,15,6
H,0.0,0.0,0.0,3,2,5,16,10,6,2,2,16,9
D,0.0,0.0,0.0,1,2,7,3,23,4,2,4,10,14
H,0.0,0.0,0.0,3,5,2,14,12,5,0,5,15,14
D,0.0,0.0,0.0,3,6,1,13,9,2,4,4,6,10
H,0.0,0.0,0.0,2,6,2,7,7,2,2,6,11,13
A,0.0,0.0,0.0,2,2,6,11,14,5,0,5,16,15
A,0.0,0.0,0.0,3,3,4,10,15,1,3,6,9,14
D,0.0,0.0,0.0,4,4,2,14,11,7,3,0,17,9
H,0.0,0.0,0.0,4,3,3,14,10,4,1,5,18,9
H,0.0,0.0,0.0,2,7,1,8,7,6,2,2,17,12
H,0.0,0.0,0.0,3,5,2,7,5,5,2,3,12,12
H,0.0,0.0,0.0,2,5,3,6,8,1,3,6,4,20
A,0.0,0.0,0.0,1,3,6,8,14,4,1,5,18,10
H,0.0,0.0,0.0,5,2,3,17,16,2,5,3,6,8
H,0.0,0.0,0.0,6,4,0,15,8,3,3,4,9,11
D,0.0,0.0,0.0,4,2,4,9,7,2,1,7,10,15
H,0.0,0.0,0.0,6,0,4,17,13,4,4,2,9,6
H,0.0,0.0,0.0,5,1,4,13,14,3,6,1,11,8
H,0.0,0.0,0.0,5,3,2,16,9,4,4,2,12,9
H,0.0,0.0,0.0,4,2,4,16,19,2,3,5,7,12
H,0.0,0.0,0.0,6,1,3,17,7,6,1,3,15,12
A,0.0,0.0,0.0,4,3,3,7,6,3,2,5,9,16
A,0.0,0.0,0.0,4,2,4,14,14,4,1,5,12,12
H,0.0,0.0,0.0,5,1,4,15,10,5,3,2,11,7
H,0.0,0.0,0.0,4,4,2,10,7,8,0,2,19,8
H,0.0,0.0,0.0,5,1,4,8,8,0,4,6,4,15
H,0.0,0.0,0.0,4,5,1,15,9,1,2,7,6,17
D,0.0,0.0,0.0,3,5,2,10,9,5,1,4,13,14
A,0.0,0.0,0.0,5,1,4,14,11,7,3,0,24,9
A,0.0,0.0,0.0,5,0,5,14,14,4,2,4,11,14
H,0.0,0.0,0.0,5,2,3,20,14,4,2,4,9,13
A,0.0,0.0,0.0,3,2,5,8,14,6,2,2,16,6
A,0.0,0.0,0.0,2,2,6,8,15,0,2,8,11,21
A,0.0,0.0,0.0,1,1,8,6,19,3,2,5,12,14
A,0.0,0.0,0.0,5,5,0,17,7,2,2,6,8,14
D,0.0,0.0,0.0,3,2,5,7,15,3,2,5,8,13
A,0.0,0.0,0.0,7,3,0,24,10,2,6,2,9,10
A,0.0,0.0,0.0,1,2,7,12,20,6,2,2,22,10
A,0.0,0.0,0.0,4,2,4,11,14,5,0,5,15,13
A,0.0,0.0,0.0,6,1,3,16,13,4,0,6,13,17
A,0.0,0.0,0.0,5,2,3,14,13,6,2,2,14,6
D,0.0,0.0,0.0,2,6,2,9,10,3,3,4,8,12
A,0.0,0.0,0.0,6,2,2,11,6,6,3,1,21,12
H,0.0,0.0,0.0,6,0,4,15,10,4,2,4,12,13
H,0.0,0.0,0.0,5,0,5,15,16,1,2,7,11,19
H,0.0,0.0,0.0,3,2,5,9,14,4,2,4,11,11
D,0.0,0.0,0.0,6,2,2,20,9,4,5,1,15,8
H,0.0,0.0,0.0,2,3,5,7,13,6,1,3,16,14
H,0.0,0.0,0.0,3,2,5,10,10,1,1,8,5,18
D,0.0,0.0,0.0,1,1,8,5,17,7,0,3,16,8
D,0.0,0.0,0.0,3,6,1,14,9,4,2,4,10,11
H,0.0,0.0,0.0,3,4,3,8,10,6,0,4,15,13
H,0.0,0.0,0.0,6,3,1,22,12,4,1,5,10,13
A,0.0,0.0,0.0,0,2,8,9,19,5,2,3,11,9
A,0.0,0.0,0.0,5,3,2,19,10,4,2,4,10,8
A,0.0,0.0,0.0,3,2,5,8,11,3,3,4,8,12
D,0.0,0.0,0.0,5,1,4,13,15,2,6,2,7,8
D,0.0,0.0,0.0,1,7,2,8,10,1,2,7,6,17
A,0.0,0.0,0.0,5,2,3,13,11,5,2,3,15,15
D,0.0,0.0,0.0,6,1,3,16,9,4,2,4,9,8
H,0.0,0.0,0.0,7,3,0,22,10,3,2,5,9,12
D,0.0,0.0,0.0,5,0,5,12,16,4,3,3,18,11
H,0.0,0.0,0.0,3,3,4,9,11,0,2,8,11,21
H,0.0,0.0,0.0,4,1,5,10,13,4,3,3,11,9
A,0.0,0.0,0.0,4,2,4,9,12,3,7,0,14,7
A,0.0,0.0,0.0,1,3,6,8,18,4,1,5,12,17
H,0.0,0.0,0.0,4,6,0,16,7,5,2,3,16,11
A,0.0,0.0,0.0,4,2,4,11,10,5,2,3,12,11
D,0.0,0.0,0.0,0,2,8,11,22,5,1,4,11,11
H,0.0,0.0,0.0,4,3,3,18,11,3,3,4,10,11
D,0.0,0.0,0.0,3,2,5,9,14,1,7,2,10,12
H,0.0,0.0,0.0,6,2,2,18,14,7,3,0,22,9
H,0.0,0.0,0.0,3,3,4,10,10,3,2,5,9,15
D,0.0,0.0,0.0,1,2,7,8,20,2,2,6,8,18
H,0.0,0.0,0.0,5,5,0,18,7,5,1,4,15,14
H,0.0,0.0,0.0,3,2,5,7,11,6,3,1,21,10
H,0.0,0.0,0.0,0,3,7,11,21,1,7,2,8,10
D,0.0,0.0,0.0,5,3,2,20,10,5,1,4,15,12
A,0.0,0.0,0.0,3,3,4,9,13,5,2,3,10,9
H,0.0,0.0,0.0,7,1,2,16,11,5,2,3,13,12
H,0.0,0.0,0.0,3,3,4,13,11,3,2,5,10,13
A,0.0,0.0,0.0,5,5,0,16,6,1,6,3,6,12
D,0.0,0.0,0.0,4,2,4,10,12,7,1,2,15,12
A,0.0,0.0,0.0,6,2,2,14,6,5,3,2,20,10
D,0.0,0.0,0.0,5,1,4,14,11,2,2,6,8,16
D,0.0,0.0,0.0,5,3,2,20,13,1,2,7,6,18
D,0.0,0.0,0.0,5,0,5,14,14,4,2,4,14,9
H,0.0,0.0,0.0,3,3,4,9,14,4,2,4,13,14
D,0.0,0.0,0.0,2,3,5,7,15,1,3,6,15,19
D,0.0,0.0,0.0,1,3,6,5,15,4,1,5,11,15
A,0.0,0.0,0.0,4,5,1,15,8,5,2,3,13,7
H,0.0,0.0,0.0,5,2,3,15,10,4,3,3,11,12
A,0.0,0.0,0.0,1,3,6,13,17,5,4,1,20,12
A,0.0,0.0,0.0,2,3,5,9,15,4,1,5,12,14
A,0.0,0.0,0.0,5,3,2,19,10,2,4,4,6,11
D,0.0,0.0,0.0,4,2,4,11,13,6,2,2,15,13
H,0.0,0.0,0.0,3,3,4,11,9,2,5,3,7,12
D,0.0,0.0,0.0,5,2,3,10,7,1,3,6,5,15
H,0.0,0.0,0.0,2,5,3,8,10,5,2,3,19,11
H,0.0,0.0,0.0,6,4,0,20,10,3,5,2,14,9
H,0.0,0.0,0.0,5,1,4,14,13,6,1,3,17,11
D,0.0,0.0,0.0,4,2,4,10,13,3,3,4,10,10
D,0.0,0.0,0.0,5,3,2,14,13,0,3,7,10,19
H,0.0,0.0,0.0,3,3,4,8,12,2,3,5,9,14
H,0.0,0.0,0.0,3,3,4,10,13,4,3,3,12,10
A,0.0,0.0,0.0,0,4,6,5,15,6,0,4,18,9
D,0.0,0.0,0.0,5,1,4,17,19,4,1,5,11,13
D,0.0,0.0,0.0,2,3,5,8,11,5,1,4,9,9
A,0.0,0.0,0.0,4,2,4,12,16,6,1,3,20,7
H,0.0,0.0,0.0,7,0,3,18,9,4,3,3,9,11
H,0.0,0.0,0.0,5,4,1,12,7,6,0,4,13,14
H,0.0,0.0,0.0,3,3,4,11,13,4,1,5,13,14
H,0.0,0.0,0.0,1,3,6,5,15,5,3,2,14,13
H,0.0,0.0,0.0,3,5,2,13,10,4,3,3,10,10
D,0.0,0.0,0.0,6,0,4,16,12,4,2,4,10,12
D,0.0,0.0,0.0,6,0,4,15,12,2,5,3,8,9
D,0.0,0.0,0.0,0,3,7,11,20,4,2,4,11,13
A,0.0,0.0,0.0,2,2,6,8,15,5,3,2,10,6
A,0.0,0.0,0.0,4,2,4,18,13,7,3,0,23,10
A,0.0,0.0,0.0,3,3,4,9,9,3,3,4,10,12
H,0.0,0.0,0.0,2,6,2,8,8,2,2,6,8,15
H,0.0,0.0,0.0,4,3,3,10,11,2,2,6,6,15
H,0.0,0.0,0.0,5,3,2,11,6,5,1,4,13,10
H,0.0,0.0,0.0,7,3,0,23,10,2,3,5,9,11
A,0.0,0.0,0.0,4,2,4,12,13,0,4,6,11,19
H,0.0,0.0,0.0,5,2,3,13,13,4,5,1,16,10
H,0.0,0.0,0.0,4,2,4,11,13,4,2,4,18,13
A,0.0,0.0,0.0,3,3,4,8,11,5,1,4,14,13
A,0.0,0.0,0.0,2,1,7,6,16,4,2,4,12,14
A,0.0,0.0,0.0,4,5,1,17,9,1,3,6,13,19
A,0.0,0.0,0.0,5,1,4,15,12,2,6,2,7,8
A,0.0,0.0,0.0,5,1,4,14,14,6,2,2,15,8
D,0.0,0.0,0.0,2,2,6,8,14,5,1,4,14,15
D,0.0,0.0,0.0,4,2,4,20,14,6,1,3,14,13
A,0.0,0.0,0.0,2,3,5,7,13,7,3,0,22,10
H,0.0,0.0,0.0,2,2,6,9,13,4,3,3,9,10
D,0.0,0.0,0.0,3,5,2,9,9,2,2,6,7,14
H,0.0,0.0,0.0,4,3,3,10,10,4,4,2,16,9
H,0.0,0.0,0.0,6,2,2,16,7,2,2,6,9,13
H,0.0,0.0,0.0,7,3,0,22,11,2,3,5,9,13
D,0.0,0.0,0.0,2,2,6,13,18,2,1,7,6,17
H,0.0,0.0,0.0,5,2,3,15,12,4,3,3,21,14
D,0.0,0.0,0.0,5,2,3,14,15,4,1,5,15,15
D,0.0,0.0,0.0,4,2,4,13,16,5,1,4,13,15
H,0.0,0.0,0.0,3,4,3,13,9,5,2,3,14,11
A,0.0,0.0,0.0,3,5,2,10,10,6,2,2,17,8
A,0.0,0.0,0.0,4,1,5,16,16,2,2,6,13,18
D,0.0,0.0,0.0,5,1,4,13,15,7,3,0,23,11
H,0.0,0.0,0.0,2,3,5,10,14,5,2,3,10,9
A,0.0,0.0,0.0,4,3,3,21,14,1,2,7,6,18
H,0.0,0.0,0.0,2,2,6,9,16,4,3,3,13,14
H,0.0,0.0,0.0,2,2,6,8,13,5,3,2,15,15
H,0.0,0.0,0.0,2,2,6,7,17,4,4,2,14,7
D,0.0,0.0,0.0,4,2,4,10,11,4,3,3,19,12
H,0.0,0.0,0.0,6,2,2,14,6,3,2,5,9,14
H,0.0,0.0,0.0,6,4,0,21,11,4,1,5,15,14
D,0.0,0.0,0.0,2,2,6,12,18,3,2,5,12,11
A,0.0,0.0,0.0,5,2,3,13,10,4,2,4,11,14
H,0.0,0.0,0.0,4,3,3,13,18,3,3,4,12,14
H,0.0,0.0,0.0,3,3,4,10,13,2,5,3,9,11
A,0.0,0.0,0.0,1,5,4,6,12,6,4,0,20,10
H,0.0,0.0,0.0,6,2,2,12,6,4,2,4,12,12
D,0.0,0.0,0.0,4,1,5,13,12,4,2,4,11,12
H,0.0,0.0,0.0,5,2,3,13,12,5,2,3,12,16
A,0.0,0.0,0.0,3,2,5,11,14,3,2,5,9,14
H,0.0,0.0,0.0,4,3,3,18,11,1,3,6,12,19
H,0.0,0.0,0.0,3,2,5,8,13,4,3,3,10,10
A,0.0,0.0,0.0,2,3,5,11,11,4,4,2,14,8
